ID,Vendor ID,Pick_up Loc,Drop Loc,Distance,Pick_up Time,Drop Time,Extra Charges,Total Amount,Trip Duration (min),Hour of Day,Day of Week
373612,1,249.0,158.0,1.1,2017-04-07 00:44:31,2017-04-07 00:51:04,0.5,9.35,6,0,Friday
139412,1,164.0,170.0,0.6,2017-04-06 00:41:12,2017-04-06 00:44:29,0.5,7.25,3,0,Thursday
1024796,2,114.0,48.0,2.87,2017-04-06 00:35:20,2017-04-06 00:47:44,0.5,12.8,12,0,Thursday
88595,1,144.0,107.0,1.1,2017-04-07 00:20:00,2017-04-07 00:27:41,0.5,8.8,7,0,Friday
281620,2,249.0,211.0,0.96,2017-04-04 00:30:06,2017-04-04 00:32:59,0.5,7.3,2,0,Tuesday
795658,2,161.0,163.0,0.52,2017-04-07 00:08:08,2017-04-07 00:11:05,0.5,6.3,2,0,Friday
1008414,2,230.0,90.0,1.59,2017-04-05 00:39:10,2017-04-05 00:47:41,0.5,11.62,8,0,Wednesday
820056,2,249.0,72.0,10.99,2017-04-04 00:03:56,2017-04-04 00:36:28,0.5,38.8,32,0,Tuesday
841884,1,229.0,249.0,3.5,2017-04-05 00:15:25,2017-04-05 00:30:35,0.5,17.75,15,0,Wednesday
862514,1,158.0,13.0,1.8,2017-04-06 00:40:50,2017-04-06 00:48:38,0.5,11.15,7,0,Thursday
480730,2,239.0,249.0,4.65,2017-04-06 00:59:03,2017-04-06 01:14:12,0.5,19.3,15,0,Thursday
563891,2,234.0,137.0,1.05,2017-04-04 00:42:41,2017-04-04 00:48:01,0.5,8.76,5,0,Tuesday
467179,1,148.0,231.0,1.7,2017-04-05 00:32:55,2017-04-05 00:42:17,0.5,9.8,9,0,Wednesday
1024168,2,132.0,13.0,16.46,2017-04-07 00:29:19,2017-04-07 01:09:36,0.0,52.8,40,0,Friday
593789,2,48.0,151.0,3.45,2017-04-04 00:27:08,2017-04-04 00:38:49,0.5,15.8,11,0,Tuesday
491172,1,100.0,170.0,1.3,2017-04-06 00:32:11,2017-04-06 00:42:26,0.5,11.15,10,0,Thursday
27275,2,24.0,263.0,2.38,2017-04-07 00:04:37,2017-04-07 00:13:21,0.5,13.5,8,0,Friday
225546,2,48.0,142.0,1.86,2017-04-04 00:27:51,2017-04-04 00:33:48,0.5,10.8,5,0,Tuesday
567364,2,170.0,239.0,3.47,2017-04-07 00:36:08,2017-04-07 00:45:44,0.5,13.8,9,0,Friday
647164,1,107.0,68.0,1.1,2017-04-06 00:54:04,2017-04-06 00:59:53,0.5,9.35,5,0,Thursday
88322,2,132.0,231.0,21.48,2017-04-06 00:59:15,2017-04-06 01:31:19,0.0,68.56,32,0,Thursday
158923,2,151.0,48.0,4.4,2017-04-07 00:12:30,2017-04-07 00:25:03,0.5,16.3,12,0,Friday
889751,1,186.0,234.0,0.5,2017-04-06 00:42:11,2017-04-06 00:45:49,0.5,5.8,3,0,Thursday
204865,2,50.0,137.0,2.54,2017-04-05 00:52:22,2017-04-05 01:07:00,0.5,15.36,14,0,Wednesday
994055,2,79.0,164.0,2.2,2017-04-04 00:50:41,2017-04-04 00:59:26,0.5,12.8,8,0,Tuesday
316861,2,249.0,223.0,7.52,2017-04-06 00:03:41,2017-04-06 01:02:49,0.5,42.8,59,0,Thursday
552009,1,138.0,166.0,7.9,2017-04-05 00:36:06,2017-04-05 00:55:16,0.5,36.06,19,0,Wednesday
310225,1,164.0,137.0,0.4,2017-04-07 00:31:18,2017-04-07 00:33:40,0.5,6.3,2,0,Friday
419504,2,161.0,229.0,0.65,2017-04-06 00:14:13,2017-04-06 00:19:43,0.5,8.5,5,0,Thursday
996765,1,79.0,158.0,1.4,2017-04-07 00:10:39,2017-04-07 00:20:27,0.5,9.3,9,0,Friday
315693,1,164.0,48.0,1.3,2017-04-07 00:44:21,2017-04-07 00:56:47,0.5,10.8,12,0,Friday
496990,1,161.0,161.0,0.4,2017-04-04 00:26:58,2017-04-04 00:29:57,0.5,5.3,2,0,Tuesday
70097,2,107.0,230.0,1.73,2017-04-07 00:33:27,2017-04-07 00:41:22,0.5,11.16,7,0,Friday
792953,2,230.0,79.0,3.14,2017-04-04 00:05:17,2017-04-04 00:21:02,0.5,14.8,15,0,Tuesday
260827,1,143.0,48.0,1.6,2017-04-06 00:08:07,2017-04-06 00:15:19,0.5,10.3,7,0,Thursday
125904,2,132.0,87.0,21.11,2017-04-06 00:57:34,2017-04-06 01:33:05,0.0,63.36,35,0,Thursday
86039,1,7.0,7.0,0.9,2017-04-07 00:18:04,2017-04-07 00:21:25,0.5,5.8,3,0,Friday
1013303,1,137.0,79.0,0.6,2017-04-05 00:09:21,2017-04-05 00:11:09,0.5,6.35,1,0,Wednesday
862060,2,236.0,90.0,4.08,2017-04-07 00:13:33,2017-04-07 00:32:34,0.5,17.3,19,0,Friday
611779,1,161.0,230.0,0.4,2017-04-04 00:59:16,2017-04-04 01:02:03,0.5,6.35,2,0,Tuesday
852531,2,162.0,246.0,2.88,2017-04-05 00:11:50,2017-04-05 00:22:38,0.5,11.8,10,0,Wednesday
709744,1,161.0,80.0,6.5,2017-04-06 00:28:17,2017-04-06 00:50:35,0.5,23.8,22,0,Thursday
557712,2,234.0,239.0,4.01,2017-04-07 00:14:43,2017-04-07 00:32:00,0.5,20.16,17,0,Friday
156418,2,144.0,113.0,1.38,2017-04-05 00:16:28,2017-04-05 00:23:58,0.5,10.38,7,0,Wednesday
930324,2,48.0,90.0,2.15,2017-04-05 00:49:36,2017-04-05 00:55:34,0.5,11.16,5,0,Wednesday
832031,2,234.0,140.0,3.39,2017-04-04 00:25:25,2017-04-04 00:38:44,0.5,17.16,13,0,Tuesday
751300,2,264.0,264.0,2.05,2017-04-04 00:48:31,2017-04-04 01:00:29,0.5,13.56,11,0,Tuesday
988324,1,79.0,179.0,4.4,2017-04-04 00:00:32,2017-04-04 00:20:19,0.5,19.3,19,0,Tuesday
124085,2,170.0,107.0,1.29,2017-04-07 00:35:01,2017-04-07 00:40:49,0.5,9.36,5,0,Friday
797923,2,144.0,68.0,2.22,2017-04-05 00:27:14,2017-04-05 00:35:33,0.5,9.8,8,0,Wednesday
191983,2,140.0,129.0,5.84,2017-04-05 00:49:24,2017-04-05 01:14:40,0.5,22.3,25,0,Wednesday
918252,1,164.0,260.0,5.6,2017-04-07 00:27:12,2017-04-07 01:07:06,0.5,33.95,39,0,Friday
248625,1,246.0,164.0,0.9,2017-04-06 00:28:32,2017-04-06 00:33:47,0.5,6.8,5,0,Thursday
1007580,2,132.0,114.0,18.98,2017-04-06 00:36:15,2017-04-06 01:05:34,0.0,70.27,29,0,Thursday
198777,1,79.0,239.0,4.2,2017-04-06 00:56:36,2017-04-06 01:13:36,0.5,17.3,17,0,Thursday
912640,2,87.0,87.0,0.25,2017-04-07 00:11:44,2017-04-07 00:13:23,0.5,5.59,1,0,Friday
576033,2,186.0,148.0,3.03,2017-04-07 00:01:38,2017-04-07 00:20:30,0.5,15.3,18,0,Friday
624287,1,68.0,188.0,7.1,2017-04-07 00:08:43,2017-04-07 00:40:51,0.5,33.35,32,0,Friday
652441,2,68.0,249.0,0.92,2017-04-06 00:28:30,2017-04-06 00:33:18,0.5,6.8,4,0,Thursday
816673,1,48.0,48.0,0.4,2017-04-07 00:27:36,2017-04-07 00:29:17,0.5,6.8,1,0,Friday
952679,1,239.0,142.0,0.8,2017-04-06 00:39:50,2017-04-06 00:45:43,0.5,9.45,5,0,Thursday
503685,1,132.0,225.0,12.4,2017-04-06 00:31:26,2017-04-06 00:59:29,0.5,37.3,28,0,Thursday
784665,1,132.0,262.0,18.7,2017-04-07 00:53:09,2017-04-07 01:18:29,0.0,70.26,25,0,Friday
584126,2,144.0,141.0,4.07,2017-04-05 00:15:57,2017-04-05 00:31:57,0.5,21.19,16,0,Wednesday
543642,2,170.0,229.0,1.03,2017-04-04 00:50:38,2017-04-04 00:57:15,0.5,9.36,6,0,Tuesday
450087,2,239.0,239.0,0.1,2017-04-05 00:53:57,2017-04-05 00:54:04,0.0,70.27,0,0,Wednesday
833685,2,132.0,219.0,3.64,2017-04-07 00:21:46,2017-04-07 00:29:49,0.5,13.3,8,0,Friday
380717,2,144.0,231.0,0.9,2017-04-07 00:35:41,2017-04-07 00:42:04,0.5,8.76,6,0,Friday
424470,2,138.0,70.0,1.66,2017-04-05 00:35:58,2017-04-05 00:41:17,0.5,10.79,5,0,Wednesday
213611,1,230.0,257.0,12.2,2017-04-07 00:11:02,2017-04-07 00:51:50,0.5,48.95,40,0,Friday
1047286,2,48.0,125.0,3.02,2017-04-06 00:17:01,2017-04-06 00:28:17,0.5,15.36,11,0,Thursday
864310,2,237.0,236.0,0.96,2017-04-07 00:00:28,2017-04-07 00:02:52,0.5,5.8,2,0,Friday
316417,1,249.0,231.0,1.2,2017-04-07 00:03:29,2017-04-07 00:08:46,0.5,8.75,5,0,Friday
536455,2,231.0,88.0,1.54,2017-04-07 00:00:04,2017-04-07 00:08:34,0.5,9.3,8,0,Friday
806069,2,79.0,158.0,1.18,2017-04-07 00:12:48,2017-04-07 00:19:32,0.5,9.36,6,0,Friday
932606,1,163.0,79.0,3.2,2017-04-06 00:55:56,2017-04-06 01:07:29,0.5,15.35,11,0,Thursday
231651,2,230.0,234.0,1.3,2017-04-06 00:01:09,2017-04-06 00:07:11,0.5,9.36,6,0,Thursday
881421,2,162.0,236.0,1.55,2017-04-07 00:38:46,2017-04-07 00:43:40,0.5,7.8,4,0,Friday
813184,2,148.0,114.0,1.13,2017-04-05 00:22:21,2017-04-05 00:28:01,0.5,8.55,5,0,Wednesday
282759,2,161.0,223.0,6.03,2017-04-07 00:26:38,2017-04-07 01:11:10,0.5,31.3,44,0,Friday
770724,2,164.0,107.0,0.86,2017-04-05 00:38:09,2017-04-05 00:44:18,0.5,8.76,6,0,Wednesday
953311,1,262.0,74.0,1.4,2017-04-06 00:36:10,2017-04-06 00:40:19,0.5,7.3,4,0,Thursday
332423,2,138.0,175.0,9.28,2017-04-04 00:21:33,2017-04-04 00:39:57,0.5,28.8,18,0,Tuesday
97367,2,229.0,229.0,0.0,2017-04-05 00:33:45,2017-04-05 00:33:50,0.5,4.56,0,0,Wednesday
234244,1,234.0,261.0,4.0,2017-04-06 00:47:46,2017-04-06 01:01:07,0.5,16.3,13,0,Thursday
532234,1,79.0,52.0,5.3,2017-04-04 00:25:48,2017-04-04 00:47:26,0.5,20.3,21,0,Tuesday
192376,2,229.0,33.0,6.83,2017-04-05 00:23:24,2017-04-05 00:41:51,0.5,29.64,18,0,Wednesday
647722,2,230.0,230.0,1.45,2017-04-04 00:36:11,2017-04-04 00:45:19,0.5,8.8,9,0,Tuesday
306181,2,132.0,79.0,18.84,2017-04-04 00:28:12,2017-04-04 01:00:06,0.0,60.0,31,0,Tuesday
975977,1,142.0,263.0,2.8,2017-04-06 00:33:46,2017-04-06 00:45:33,0.5,14.72,11,0,Thursday
972167,2,132.0,265.0,43.03,2017-04-05 00:16:41,2017-04-05 01:10:20,0.5,112.3,53,0,Wednesday
826979,2,100.0,127.0,9.31,2017-04-06 00:12:20,2017-04-06 00:45:37,0.5,34.8,33,0,Thursday
629158,1,263.0,148.0,5.5,2017-04-04 00:51:05,2017-04-04 01:05:54,0.5,23.75,14,0,Tuesday
886221,1,256.0,225.0,2.3,2017-04-06 00:11:09,2017-04-06 00:25:32,0.5,13.8,14,0,Thursday
233531,2,170.0,163.0,1.7,2017-04-06 00:06:45,2017-04-06 00:21:58,0.5,14.76,15,0,Thursday
480996,1,170.0,231.0,3.0,2017-04-04 00:05:43,2017-04-04 00:20:00,0.5,16.55,14,0,Tuesday
587955,1,164.0,179.0,4.8,2017-04-06 00:55:24,2017-04-06 01:37:04,0.5,36.0,41,0,Thursday
444032,1,238.0,141.0,2.0,2017-04-06 00:04:35,2017-04-06 00:16:29,0.5,13.55,11,0,Thursday
498047,2,162.0,141.0,1.01,2017-04-04 00:46:02,2017-04-04 00:49:26,0.5,7.3,3,0,Tuesday
719604,2,170.0,230.0,0.98,2017-04-07 00:07:46,2017-04-07 00:13:30,0.5,7.3,5,0,Friday
635843,1,264.0,264.0,3.2,2017-04-07 00:27:10,2017-04-07 00:48:01,0.5,20.75,20,0,Friday
335573,1,263.0,140.0,0.8,2017-04-07 00:19:26,2017-04-07 00:23:09,0.5,7.3,3,0,Friday
275355,1,161.0,151.0,3.1,2017-04-07 00:20:38,2017-04-07 00:30:32,0.5,14.8,9,0,Friday
107126,1,162.0,186.0,1.6,2017-04-06 00:47:23,2017-04-06 00:53:29,0.5,9.95,6,0,Thursday
749643,1,229.0,68.0,2.2,2017-04-05 00:12:06,2017-04-05 00:23:29,0.5,12.5,11,0,Wednesday
119037,1,138.0,186.0,9.1,2017-04-05 00:53:04,2017-04-05 01:12:34,0.5,39.08,19,0,Wednesday
345419,1,161.0,141.0,1.2,2017-04-05 00:29:14,2017-04-05 00:37:41,0.5,10.55,8,0,Wednesday
815288,2,249.0,261.0,1.84,2017-04-07 00:33:06,2017-04-07 00:43:32,0.5,12.36,10,0,Friday
329731,1,48.0,129.0,9.9,2017-04-05 00:02:47,2017-04-05 00:33:42,0.5,39.06,30,0,Wednesday
408475,1,230.0,237.0,1.1,2017-04-06 00:48:26,2017-04-06 00:52:09,0.5,8.15,3,0,Thursday
234278,2,246.0,164.0,1.01,2017-04-06 00:14:00,2017-04-06 00:20:19,0.5,6.8,6,0,Thursday
802150,2,148.0,112.0,3.28,2017-04-06 00:27:25,2017-04-06 00:34:54,0.5,15.36,7,0,Thursday
184540,2,229.0,68.0,2.38,2017-04-05 00:17:24,2017-04-05 00:27:32,0.5,11.3,10,0,Wednesday
975968,2,132.0,239.0,18.49,2017-04-04 00:39:01,2017-04-04 01:18:40,0.0,58.8,39,0,Tuesday
628485,2,161.0,186.0,1.24,2017-04-04 00:20:06,2017-04-04 00:26:15,0.5,7.8,6,0,Tuesday
90944,2,255.0,256.0,0.47,2017-04-06 00:34:36,2017-04-06 00:36:15,0.5,6.0,1,0,Thursday
448552,1,90.0,90.0,1.4,2017-04-06 00:48:22,2017-04-06 00:48:53,0.0,40.0,0,0,Thursday
527628,1,161.0,231.0,3.2,2017-04-07 00:57:15,2017-04-07 01:11:20,0.5,17.9,14,0,Friday
653050,2,237.0,142.0,1.22,2017-04-07 00:43:44,2017-04-07 00:50:33,0.5,9.96,6,0,Friday
803202,2,164.0,164.0,0.59,2017-04-04 00:56:10,2017-04-04 00:57:35,0.5,6.0,1,0,Tuesday
415062,2,107.0,161.0,1.82,2017-04-04 00:29:50,2017-04-04 00:37:14,0.5,9.3,7,0,Tuesday
946456,1,100.0,188.0,7.9,2017-04-05 00:05:43,2017-04-05 00:38:49,0.5,35.15,33,0,Wednesday
660051,1,114.0,224.0,1.5,2017-04-07 00:07:07,2017-04-07 00:16:53,0.5,11.75,9,0,Friday
371475,1,48.0,239.0,2.2,2017-04-06 00:15:32,2017-04-06 00:23:04,0.5,11.27,7,0,Thursday
211746,1,114.0,79.0,0.7,2017-04-07 00:57:52,2017-04-07 01:04:19,0.5,8.75,6,0,Friday
341099,2,100.0,158.0,1.86,2017-04-05 00:15:13,2017-04-05 00:21:34,0.5,11.0,6,0,Wednesday
671659,2,48.0,68.0,1.36,2017-04-06 00:29:38,2017-04-06 00:32:58,0.5,8.16,3,0,Thursday
274223,1,79.0,246.0,3.2,2017-04-06 00:59:18,2017-04-06 01:15:22,0.5,18.35,16,0,Thursday
364121,1,87.0,186.0,3.3,2017-04-04 00:50:14,2017-04-04 01:01:47,0.5,15.95,11,0,Tuesday
597872,2,13.0,144.0,1.7,2017-04-07 00:50:01,2017-04-07 01:00:10,0.5,12.36,10,0,Friday
219851,2,148.0,255.0,2.68,2017-04-05 00:26:26,2017-04-05 00:34:40,0.5,11.3,8,0,Wednesday
254497,2,48.0,116.0,5.0,2017-04-04 00:44:26,2017-04-04 00:58:38,0.5,20.16,14,0,Tuesday
241477,2,161.0,37.0,6.43,2017-04-05 00:04:20,2017-04-05 00:36:05,0.5,32.16,31,0,Wednesday
768356,2,198.0,198.0,0.0,2017-04-06 00:40:34,2017-04-06 00:40:42,0.0,32.76,0,0,Thursday
306502,1,234.0,249.0,1.4,2017-04-06 00:49:22,2017-04-06 00:55:03,0.5,7.8,5,0,Thursday
578830,2,138.0,138.0,4.88,2017-04-07 00:15:04,2017-04-07 00:29:08,0.5,20.16,14,0,Friday
393502,2,138.0,236.0,7.87,2017-04-04 00:23:20,2017-04-04 00:42:20,0.5,38.82,19,0,Tuesday
469057,2,234.0,79.0,0.99,2017-04-05 00:19:39,2017-04-05 00:25:53,0.5,8.76,6,0,Wednesday
920174,1,230.0,48.0,0.6,2017-04-07 00:01:41,2017-04-07 00:09:52,0.5,8.8,8,0,Friday
387805,1,138.0,263.0,7.7,2017-04-07 00:51:48,2017-04-07 01:05:02,0.5,35.46,13,0,Friday
543349,1,231.0,87.0,1.1,2017-04-04 00:18:29,2017-04-04 00:24:31,0.5,8.75,6,0,Tuesday
31506,2,230.0,142.0,1.13,2017-04-04 00:08:24,2017-04-04 00:13:06,0.5,7.3,4,0,Tuesday
153289,2,140.0,263.0,1.1,2017-04-07 00:23:02,2017-04-07 00:27:54,0.5,8.76,4,0,Friday
913998,2,162.0,141.0,2.33,2017-04-06 00:01:00,2017-04-06 00:09:53,0.5,12.96,8,0,Thursday
236371,1,45.0,45.0,0.5,2017-04-06 00:07:47,2017-04-06 00:11:20,0.5,5.3,3,0,Thursday
916664,2,249.0,249.0,0.9,2017-04-04 00:12:53,2017-04-04 00:17:16,0.5,7.3,4,0,Tuesday
132364,2,138.0,56.0,4.94,2017-04-04 00:33:31,2017-04-04 00:43:11,0.5,19.56,9,0,Tuesday
631331,1,234.0,164.0,0.5,2017-04-06 00:38:45,2017-04-06 00:41:58,0.5,6.35,3,0,Thursday
1035887,1,162.0,239.0,2.0,2017-04-07 00:04:45,2017-04-07 00:15:30,0.5,13.55,10,0,Friday
734458,2,33.0,256.0,5.21,2017-04-06 00:19:23,2017-04-06 00:30:59,0.5,21.36,11,0,Thursday
409716,2,68.0,163.0,2.7,2017-04-04 00:01:49,2017-04-04 00:13:51,0.5,13.3,12,0,Tuesday
274543,2,230.0,65.0,5.58,2017-04-07 00:24:44,2017-04-07 00:50:49,0.5,29.64,26,0,Friday
456835,2,230.0,239.0,1.82,2017-04-06 00:01:41,2017-04-06 00:07:31,0.5,10.56,5,0,Thursday
448836,2,90.0,75.0,5.32,2017-04-07 00:14:01,2017-04-07 00:35:48,0.5,22.3,21,0,Friday
106802,2,114.0,144.0,0.89,2017-04-07 00:36:34,2017-04-07 00:42:35,0.5,8.76,6,0,Friday
1004103,1,107.0,107.0,0.1,2017-04-07 00:04:40,2017-04-07 00:05:01,0.0,60.3,0,0,Friday
193340,2,68.0,79.0,1.67,2017-04-06 00:47:09,2017-04-06 00:54:28,0.5,12.09,7,0,Thursday
893431,2,161.0,238.0,3.44,2017-04-06 00:18:41,2017-04-06 00:29:14,0.5,15.96,10,0,Thursday
27804,1,148.0,162.0,3.1,2017-04-06 00:58:36,2017-04-06 01:11:24,0.5,13.3,12,0,Thursday
845693,2,162.0,141.0,1.09,2017-04-07 00:43:26,2017-04-07 00:47:41,0.5,8.16,4,0,Friday
745673,2,80.0,80.0,1.25,2017-04-07 00:13:27,2017-04-07 00:21:31,0.5,10.56,8,0,Friday
829613,1,68.0,234.0,1.0,2017-04-06 00:03:49,2017-04-06 00:14:47,0.5,11.75,10,0,Thursday
235216,2,230.0,112.0,4.54,2017-04-06 00:50:40,2017-04-06 01:26:51,0.5,25.8,36,0,Thursday
634669,1,90.0,170.0,1.1,2017-04-04 00:55:23,2017-04-04 01:00:17,0.5,7.3,4,0,Tuesday
283864,2,170.0,100.0,0.88,2017-04-04 00:23:52,2017-04-04 00:28:33,0.5,6.8,4,0,Tuesday
95589,2,87.0,202.0,9.86,2017-04-04 00:50:48,2017-04-04 01:14:33,0.5,36.36,23,0,Tuesday
290345,1,234.0,148.0,2.2,2017-04-06 00:25:36,2017-04-06 00:38:04,0.5,14.15,12,0,Thursday
82232,2,244.0,75.0,3.66,2017-04-06 00:13:56,2017-04-06 00:31:42,0.5,16.8,17,0,Thursday
734597,2,140.0,141.0,0.84,2017-04-05 00:20:08,2017-04-05 00:24:28,0.5,7.56,4,0,Wednesday
464042,2,137.0,140.0,2.79,2017-04-07 00:15:31,2017-04-07 00:24:28,0.5,10.8,8,0,Friday
94529,2,211.0,114.0,0.71,2017-04-05 00:01:38,2017-04-05 00:04:34,0.5,7.54,2,0,Wednesday
618111,2,193.0,193.0,0.0,2017-04-06 00:04:58,2017-04-06 00:04:58,0.5,3.8,0,0,Thursday
796631,2,234.0,13.0,2.96,2017-04-07 00:03:09,2017-04-07 00:14:32,0.5,14.76,11,0,Friday
1019044,2,234.0,161.0,1.65,2017-04-05 00:44:46,2017-04-05 00:54:42,0.5,10.3,9,0,Wednesday
412587,1,249.0,14.0,9.0,2017-04-05 00:20:37,2017-04-05 00:45:12,0.5,29.3,24,0,Wednesday
963877,1,148.0,211.0,0.9,2017-04-07 00:52:51,2017-04-07 00:57:08,0.5,8.15,4,0,Friday
214223,2,162.0,88.0,5.54,2017-04-05 00:21:57,2017-04-05 00:34:23,0.5,23.5,12,0,Wednesday
66777,2,125.0,231.0,1.23,2017-04-06 00:40:53,2017-04-06 00:46:52,0.5,7.8,5,0,Thursday
372302,1,249.0,163.0,2.6,2017-04-05 00:18:27,2017-04-05 00:31:23,0.5,15.35,12,0,Wednesday
211804,1,100.0,244.0,8.6,2017-04-06 00:29:40,2017-04-06 01:04:37,0.5,32.8,34,0,Thursday
1002803,1,246.0,161.0,1.6,2017-04-07 00:42:14,2017-04-07 00:52:03,0.5,11.8,9,0,Friday
306974,1,239.0,142.0,0.5,2017-04-07 00:07:08,2017-04-07 00:10:33,0.5,5.8,3,0,Friday
952642,2,48.0,244.0,7.93,2017-04-07 00:26:37,2017-04-07 00:59:53,0.5,31.3,33,0,Friday
371638,2,249.0,236.0,5.07,2017-04-06 00:42:09,2017-04-06 00:59:40,0.5,21.96,17,0,Thursday
135881,1,68.0,231.0,2.4,2017-04-07 00:01:50,2017-04-07 00:13:32,0.5,12.3,11,0,Friday
1032028,2,68.0,246.0,0.84,2017-04-05 00:00:19,2017-04-05 00:04:29,0.5,8.5,4,0,Wednesday
995364,2,125.0,62.0,6.25,2017-04-05 00:22:10,2017-04-05 00:47:02,0.5,30.29,24,0,Wednesday
316113,1,236.0,263.0,1.1,2017-04-04 00:08:08,2017-04-04 00:12:09,0.5,8.15,4,0,Tuesday
47745,2,88.0,41.0,9.81,2017-04-06 00:32:50,2017-04-06 01:00:33,0.5,32.8,27,0,Thursday
92881,1,25.0,17.0,3.2,2017-04-06 00:32:50,2017-04-06 00:48:14,0.5,14.3,15,0,Thursday
292545,2,237.0,263.0,1.33,2017-04-04 00:03:13,2017-04-04 00:08:19,0.5,9.36,5,0,Tuesday
829930,1,138.0,238.0,8.7,2017-04-05 00:35:33,2017-04-05 00:52:43,0.5,32.06,17,0,Wednesday
1048296,2,144.0,142.0,4.51,2017-04-07 00:53:01,2017-04-07 01:09:41,0.5,17.3,16,0,Friday
830748,1,79.0,263.0,3.8,2017-04-06 00:00:02,2017-04-06 00:13:32,0.5,19.2,13,0,Thursday
499970,1,144.0,161.0,3.3,2017-04-07 00:42:16,2017-04-07 00:53:26,0.5,12.8,11,0,Friday
511844,1,148.0,45.0,1.1,2017-04-04 00:35:58,2017-04-04 00:41:43,0.5,7.3,5,0,Tuesday
874890,2,186.0,144.0,2.13,2017-04-07 00:02:16,2017-04-07 00:13:33,0.5,11.3,11,0,Friday
477977,1,129.0,260.0,2.7,2017-04-06 00:20:19,2017-04-06 00:27:16,0.5,11.3,6,0,Thursday
216217,2,114.0,249.0,1.94,2017-04-07 00:10:21,2017-04-07 00:20:37,0.5,11.76,10,0,Friday
1024503,2,211.0,164.0,2.08,2017-04-07 00:12:34,2017-04-07 00:20:44,0.5,9.8,8,0,Friday
100382,1,132.0,161.0,17.9,2017-04-04 00:27:34,2017-04-04 00:57:14,0.0,70.26,29,0,Tuesday
293072,2,79.0,107.0,1.14,2017-04-04 00:25:17,2017-04-04 00:28:29,0.5,8.3,3,0,Tuesday
324949,1,143.0,62.0,10.8,2017-04-05 00:52:07,2017-04-05 01:28:48,0.5,41.8,36,0,Wednesday
262097,2,90.0,48.0,2.62,2017-04-07 00:19:49,2017-04-07 00:34:47,0.5,13.3,14,0,Friday
