COGS,Date,Margin,Market Size,Market,Product Line,Product Type,Product,Profit,Sales,State,Total Expenses
50,2012-11-01 00:00:00.000,73,Major Market,South,Beans,Espresso,Decaf Espresso,48,123,Texas,25
40,2012-11-01 00:00:00.000,52,Major Market,Central,Beans,Coffee,Colombian,27,92,Colorado,25
52,2012-11-01 00:00:00.000,68,Major Market,East,Beans,Espresso,Caffe Mocha,-8,120,Massachusetts,76
75,2012-11-01 00:00:00.000,89,Major Market,East,Leaves,Herbal Tea,Mint,44,164,Florida,45
46,2012-11-01 00:00:00.000,68,Major Market,South,Leaves,Herbal Tea,Lemon,31,114,Texas,37
55,2012-11-01 00:00:00.000,69,Major Market,Central,Leaves,Tea,Darjeeling,15,124,Colorado,54
50,2012-11-01 00:00:00.000,73,Major Market,Central,Leaves,Tea,Darjeeling,48,123,Illinois,25
57,2012-11-01 00:00:00.000,68,Major Market,Central,Leaves,Tea,Earl Grey,29,125,Colorado,39
36,2012-11-01 00:00:00.000,52,Major Market,East,Leaves,Tea,Darjeeling,31,88,Massachusetts,21
33,2012-11-01 00:00:00.000,48,Small Market,Central,Beans,Espresso,Decaf Espresso,27,81,Missouri,21
31,2012-11-01 00:00:00.000,47,Small Market,South,Beans,Coffee,Decaf Irish Cream,28,78,Louisiana,19
36,2012-11-01 00:00:00.000,52,Small Market,South,Beans,Coffee,Decaf Irish Cream,30,88,Oklahoma,22
49,2012-11-01 00:00:00.000,71,Small Market,South,Beans,Espresso,Decaf Espresso,34,120,Louisiana,37
54,2012-11-01 00:00:00.000,67,Small Market,Central,Beans,Coffee,Amaretto,14,121,Wisconsin,53
46,2012-11-01 00:00:00.000,67,Small Market,East,Beans,Coffee,Amaretto,30,113,New Hampshire,37
43,2012-11-01 00:00:00.000,66,Small Market,East,Beans,Coffee,Colombian,20,109,New Hampshire,46
44,2012-11-01 00:00:00.000,62,Small Market,East,Beans,Espresso,Caffe Mocha,-8,106,New Hampshire,70
53,2012-11-01 00:00:00.000,88,Small Market,South,Beans,Espresso,Caffe Mocha,49,141,Louisiana,39
54,2012-11-01 00:00:00.000,67,Small Market,West,Beans,Espresso,Caffe Mocha,13,121,Washington,54
54,2012-11-01 00:00:00.000,67,Small Market,South,Leaves,Herbal Tea,Chamomile,13,121,Oklahoma,54
46,2012-11-01 00:00:00.000,67,Small Market,West,Leaves,Herbal Tea,Chamomile,30,113,Utah,37
43,2012-11-01 00:00:00.000,66,Small Market,West,Leaves,Herbal Tea,Lemon,20,109,Utah,46
47,2012-11-01 00:00:00.000,68,Small Market,West,Leaves,Herbal Tea,Lemon,44,115,Washington,24
36,2012-11-01 00:00:00.000,54,Small Market,East,Leaves,Tea,Green Tea,33,90,Connecticut,21
61,2012-11-01 00:00:00.000,86,Small Market,West,Leaves,Tea,Green Tea,1,147,Washington,85
43,2012-12-01 00:00:00.000,56,Major Market,South,Beans,Coffee,Decaf Irish Cream,30,99,Texas,26
54,2012-12-01 00:00:00.000,79,Major Market,South,Beans,Espresso,Decaf Espresso,52,133,Texas,27
47,2012-12-01 00:00:00.000,65,Major Market,Central,Leaves,Herbal Tea,Lemon,-6,112,Colorado,71
54,2012-12-01 00:00:00.000,73,Major Market,Central,Leaves,Herbal Tea,Mint,29,127,Colorado,44
65,2012-12-01 00:00:00.000,80,Major Market,East,Leaves,Herbal Tea,Lemon,23,145,Florida,57
80,2012-12-01 00:00:00.000,96,Major Market,East,Leaves,Herbal Tea,Mint,50,176,Florida,46
54,2012-12-01 00:00:00.000,73,Major Market,South,Leaves,Herbal Tea,Chamomile,28,127,Texas,45
41,2012-12-01 00:00:00.000,60,Major Market,South,Leaves,Herbal Tea,Lemon,24,101,Texas,36
54,2012-12-01 00:00:00.000,79,Major Market,West,Leaves,Tea,Earl Grey,53,133,California,26
31,2012-12-01 00:00:00.000,46,Small Market,Central,Beans,Espresso,Decaf Espresso,27,77,Missouri,19
34,2012-12-01 00:00:00.000,51,Small Market,South,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,20
33,2012-12-01 00:00:00.000,49,Small Market,South,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,21
48,2012-12-01 00:00:00.000,74,Small Market,East,Beans,Coffee,Colombian,28,122,New Hampshire,46
55,2012-12-01 00:00:00.000,76,Small Market,South,Beans,Espresso,Caffe Latte,-3,131,Louisiana,79
49,2012-12-01 00:00:00.000,69,Small Market,South,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,74
39,2012-12-01 00:00:00.000,49,Small Market,West,Beans,Coffee,Colombian,1,88,Nevada,48
49,2012-12-01 00:00:00.000,69,Small Market,Central,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,74
41,2012-12-01 00:00:00.000,66,Small Market,Central,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,36
92,2012-12-01 00:00:00.000,68,Small Market,Central,Leaves,Herbal Tea,Lemon,16,160,Missouri,52
68,2012-12-01 00:00:00.000,85,Small Market,East,Leaves,Herbal Tea,Lemon,27,153,Connecticut,58
63,2012-12-01 00:00:00.000,76,Small Market,East,Leaves,Herbal Tea,Mint,36,139,Connecticut,40
92,2012-12-01 00:00:00.000,68,Small Market,West,Leaves,Herbal Tea,Mint,17,160,Utah,51
55,2012-12-01 00:00:00.000,76,Small Market,Central,Leaves,Tea,Earl Grey,-3,131,Wisconsin,79
51,2013-10-01 00:00:00.000,71,Major Market,Central,Leaves,Herbal Tea,Lemon,-7,130,Colorado,76
52,2013-10-01 00:00:00.000,71,Major Market,Central,Leaves,Herbal Tea,Mint,39,131,Colorado,45
43,2013-10-01 00:00:00.000,64,Major Market,South,Leaves,Herbal Tea,Lemon,42,114,Texas,36
38,2013-10-01 00:00:00.000,56,Major Market,East,Leaves,Tea,Darjeeling,52,100,Florida,21
72,2013-10-01 00:00:00.000,110,Major Market,West,Leaves,Tea,Green Tea,83,194,California,54
0,2013-10-01 00:00:00.000,43,Small Market,Central,Beans,Espresso,Decaf Espresso,46,46,Iowa,12
47,2013-10-01 00:00:00.000,64,Small Market,East,Beans,Espresso,Decaf Espresso,31,118,Connecticut,43
27,2013-10-01 00:00:00.000,39,Small Market,South,Beans,Coffee,Decaf Irish Cream,31,70,Oklahoma,18
31,2013-10-01 00:00:00.000,37,Small Market,West,Beans,Coffee,Decaf Irish Cream,10,72,Nevada,30
40,2013-10-01 00:00:00.000,59,Small Market,West,Beans,Espresso,Decaf Espresso,55,106,Utah,22
49,2013-10-01 00:00:00.000,71,Small Market,East,Beans,Coffee,Amaretto,49,128,New Hampshire,38
45,2013-10-01 00:00:00.000,69,Small Market,East,Beans,Coffee,Colombian,36,121,New Hampshire,45
45,2013-10-01 00:00:00.000,64,Small Market,East,Beans,Espresso,Caffe Mocha,-10,116,New Hampshire,71
60,2013-10-01 00:00:00.000,84,Small Market,South,Beans,Espresso,Caffe Latte,1,153,Louisiana,83
34,2013-10-01 00:00:00.000,43,Small Market,West,Beans,Coffee,Colombian,-3,82,Nevada,45
54,2013-10-01 00:00:00.000,66,Small Market,West,Beans,Espresso,Caffe Latte,18,128,Oregon,54
45,2013-10-01 00:00:00.000,64,Small Market,Central,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,70
48,2013-10-01 00:00:00.000,70,Small Market,Central,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,25
49,2013-10-01 00:00:00.000,71,Small Market,West,Leaves,Herbal Tea,Chamomile,49,128,Utah,38
48,2013-10-01 00:00:00.000,71,Small Market,West,Leaves,Herbal Tea,Lemon,70,127,Washington,24
40,2013-10-01 00:00:00.000,59,Small Market,East,Leaves,Tea,Darjeeling,53,106,Connecticut,23
82,2013-10-01 00:00:00.000,123,Small Market,West,Leaves,Tea,Earl Grey,95,218,Oregon,59
91,2013-10-01 00:00:00.000,127,Small Market,West,Leaves,Tea,Green Tea,113,232,Oregon,51
40,2013-11-01 00:00:00.000,52,Major Market,South,Beans,Coffee,Decaf Irish Cream,39,98,Texas,26
50,2013-11-01 00:00:00.000,73,Major Market,South,Beans,Espresso,Decaf Espresso,71,131,Texas,25
40,2013-11-01 00:00:00.000,52,Major Market,Central,Beans,Coffee,Colombian,40,98,Colorado,25
52,2013-11-01 00:00:00.000,68,Major Market,East,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,76
75,2013-11-01 00:00:00.000,89,Major Market,East,Leaves,Herbal Tea,Mint,65,175,Florida,45
46,2013-11-01 00:00:00.000,68,Major Market,South,Leaves,Herbal Tea,Lemon,46,121,Texas,37
55,2013-11-01 00:00:00.000,69,Major Market,Central,Leaves,Tea,Darjeeling,22,132,Colorado,54
50,2013-11-01 00:00:00.000,73,Major Market,Central,Leaves,Tea,Darjeeling,71,131,Illinois,25
57,2013-11-01 00:00:00.000,68,Major Market,Central,Leaves,Tea,Earl Grey,43,133,Colorado,39
36,2013-11-01 00:00:00.000,52,Major Market,East,Leaves,Tea,Darjeeling,46,94,Massachusetts,21
33,2013-11-01 00:00:00.000,48,Small Market,Central,Beans,Espresso,Decaf Espresso,40,86,Missouri,21
31,2013-11-01 00:00:00.000,47,Small Market,South,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,19
36,2013-11-01 00:00:00.000,52,Small Market,South,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,22
49,2013-11-01 00:00:00.000,71,Small Market,South,Beans,Espresso,Decaf Espresso,50,128,Louisiana,37
54,2013-11-01 00:00:00.000,67,Small Market,Central,Beans,Coffee,Amaretto,21,129,Wisconsin,53
46,2013-11-01 00:00:00.000,67,Small Market,East,Beans,Coffee,Amaretto,45,120,New Hampshire,37
43,2013-11-01 00:00:00.000,66,Small Market,East,Beans,Coffee,Colombian,30,116,New Hampshire,46
44,2013-11-01 00:00:00.000,62,Small Market,East,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,70
53,2013-11-01 00:00:00.000,88,Small Market,South,Beans,Espresso,Caffe Mocha,73,150,Louisiana,39
54,2013-11-01 00:00:00.000,67,Small Market,West,Beans,Espresso,Caffe Mocha,19,129,Washington,54
54,2013-11-01 00:00:00.000,67,Small Market,South,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,54
46,2013-11-01 00:00:00.000,67,Small Market,West,Leaves,Herbal Tea,Chamomile,45,120,Utah,37
43,2013-11-01 00:00:00.000,66,Small Market,West,Leaves,Herbal Tea,Lemon,30,116,Utah,46
47,2013-11-01 00:00:00.000,68,Small Market,West,Leaves,Herbal Tea,Lemon,65,123,Washington,24
36,2013-11-01 00:00:00.000,54,Small Market,East,Leaves,Tea,Green Tea,49,96,Connecticut,21
61,2013-11-01 00:00:00.000,86,Small Market,West,Leaves,Tea,Green Tea,1,157,Washington,85
43,2013-12-01 00:00:00.000,56,Major Market,South,Beans,Coffee,Decaf Irish Cream,45,106,Texas,26
54,2013-12-01 00:00:00.000,79,Major Market,South,Beans,Espresso,Decaf Espresso,77,142,Texas,27
47,2013-12-01 00:00:00.000,65,Major Market,Central,Leaves,Herbal Tea,Lemon,-9,119,Colorado,71
54,2013-12-01 00:00:00.000,73,Major Market,Central,Leaves,Herbal Tea,Mint,43,135,Colorado,44
65,2013-12-01 00:00:00.000,80,Major Market,East,Leaves,Herbal Tea,Lemon,34,155,Florida,57
80,2013-12-01 00:00:00.000,96,Major Market,East,Leaves,Herbal Tea,Mint,74,188,Florida,46
54,2013-12-01 00:00:00.000,73,Major Market,South,Leaves,Herbal Tea,Chamomile,42,135,Texas,45
41,2013-12-01 00:00:00.000,60,Major Market,South,Leaves,Herbal Tea,Lemon,36,108,Texas,36
54,2013-12-01 00:00:00.000,79,Major Market,West,Leaves,Tea,Earl Grey,79,142,California,26
31,2013-12-01 00:00:00.000,46,Small Market,Central,Beans,Espresso,Decaf Espresso,40,82,Missouri,19
34,2013-12-01 00:00:00.000,51,Small Market,South,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,20
33,2013-12-01 00:00:00.000,49,Small Market,South,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,21
48,2013-12-01 00:00:00.000,74,Small Market,East,Beans,Coffee,Colombian,42,130,New Hampshire,46
55,2013-12-01 00:00:00.000,76,Small Market,South,Beans,Espresso,Caffe Latte,-4,140,Louisiana,79
49,2013-12-01 00:00:00.000,69,Small Market,South,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,74
39,2013-12-01 00:00:00.000,49,Small Market,West,Beans,Coffee,Colombian,1,94,Nevada,48
49,2013-12-01 00:00:00.000,69,Small Market,Central,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,74
41,2013-12-01 00:00:00.000,66,Small Market,Central,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,36
92,2013-12-01 00:00:00.000,68,Small Market,Central,Leaves,Herbal Tea,Lemon,24,171,Missouri,52
68,2013-12-01 00:00:00.000,85,Small Market,East,Leaves,Herbal Tea,Lemon,40,163,Connecticut,58
63,2013-12-01 00:00:00.000,76,Small Market,East,Leaves,Herbal Tea,Mint,53,148,Connecticut,40
92,2013-12-01 00:00:00.000,68,Small Market,West,Leaves,Herbal Tea,Mint,25,171,Utah,51
55,2013-12-01 00:00:00.000,76,Small Market,Central,Leaves,Tea,Earl Grey,-4,140,Wisconsin,79
39,2012-10-01 00:00:00.000,51,Major Market,Central,Beans,Coffee,Colombian,27,90,Colorado,24
80,2012-10-01 00:00:00.000,94,Major Market,East,Leaves,Herbal Tea,Mint,48,174,Florida,46
54,2012-10-01 00:00:00.000,66,Major Market,Central,Leaves,Tea,Darjeeling,13,120,Colorado,53
54,2012-10-01 00:00:00.000,64,Major Market,Central,Leaves,Tea,Earl Grey,27,118,Colorado,37
27,2012-10-01 00:00:00.000,39,Major Market,East,Leaves,Tea,Darjeeling,20,66,Massachusetts,19
76,2012-10-01 00:00:00.000,111,Major Market,West,Leaves,Tea,Earl Grey,79,187,California,32
22,2012-10-01 00:00:00.000,29,Small Market,Central,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,19
23,2012-10-01 00:00:00.000,35,Small Market,Central,Beans,Espresso,Caffe Mocha,18,58,Iowa,17
79,2012-10-01 00:00:00.000,98,Small Market,East,Leaves,Herbal Tea,Lemon,34,177,Connecticut,64
65,2012-10-01 00:00:00.000,77,Small Market,East,Leaves,Herbal Tea,Mint,35,142,Connecticut,42
46,2012-10-01 00:00:00.000,67,Small Market,Central,Leaves,Tea,Darjeeling,30,113,Wisconsin,37
60,2012-10-01 00:00:00.000,84,Small Market,Central,Leaves,Tea,Earl Grey,0,144,Wisconsin,84
60,2012-10-01 00:00:00.000,99,Small Market,West,Leaves,Tea,Darjeeling,57,159,Washington,42
40,2012-11-01 00:00:00.000,52,Major Market,Central,Leaves,Herbal Tea,Lemon,27,92,Illinois,25
36,2012-11-01 00:00:00.000,52,Major Market,Central,Leaves,Herbal Tea,Lemon,30,88,Ohio,22
55,2012-11-01 00:00:00.000,69,Major Market,East,Leaves,Herbal Tea,Lemon,15,124,Massachusetts,54
40,2012-11-01 00:00:00.000,52,Major Market,West,Leaves,Herbal Tea,Mint,27,92,California,25
28,2012-11-01 00:00:00.000,42,Major Market,East,Leaves,Tea,Darjeeling,23,70,Florida,19
31,2012-11-01 00:00:00.000,47,Major Market,East,Leaves,Tea,Green Tea,28,78,Florida,19
32,2012-11-01 00:00:00.000,48,Major Market,East,Leaves,Tea,Green Tea,29,80,Massachusetts,19
50,2012-11-01 00:00:00.000,73,Major Market,West,Leaves,Tea,Earl Grey,47,123,California,26
0,2012-11-01 00:00:00.000,43,Small Market,Central,Beans,Espresso,Decaf Espresso,31,43,Iowa,12
82,2012-11-01 00:00:00.000,40,Small Market,South,Beans,Coffee,Decaf Irish Cream,-8,122,New Mexico,48
22,2012-11-01 00:00:00.000,34,Small Market,Central,Beans,Espresso,Caffe Mocha,16,56,Iowa,18
44,2012-11-01 00:00:00.000,62,Small Market,South,Beans,Espresso,Caffe Mocha,-7,106,New Mexico,69
33,2012-11-01 00:00:00.000,41,Small Market,West,Beans,Coffee,Colombian,-4,74,Nevada,45
44,2012-11-01 00:00:00.000,62,Small Market,Central,Leaves,Herbal Tea,Chamomile,-8,106,Missouri,70
31,2012-11-01 00:00:00.000,47,Small Market,Central,Leaves,Herbal Tea,Lemon,27,78,Wisconsin,20
69,2012-11-01 00:00:00.000,81,Small Market,East,Leaves,Herbal Tea,Mint,38,150,Connecticut,43
49,2012-11-01 00:00:00.000,71,Small Market,Central,Leaves,Tea,Darjeeling,33,120,Wisconsin,38
49,2012-11-01 00:00:00.000,71,Small Market,West,Leaves,Tea,Earl Grey,34,120,Washington,37
43,2012-12-01 00:00:00.000,56,Major Market,Central,Beans,Coffee,Colombian,29,99,Colorado,27
41,2012-12-01 00:00:00.000,60,Major Market,Central,Beans,Coffee,Colombian,24,101,Ohio,36
47,2012-12-01 00:00:00.000,52,Major Market,East,Beans,Espresso,Caffe Mocha,-20,99,Massachusetts,72
43,2012-12-01 00:00:00.000,56,Major Market,Central,Leaves,Herbal Tea,Lemon,29,99,Illinois,27
43,2012-12-01 00:00:00.000,56,Major Market,West,Leaves,Herbal Tea,Mint,29,99,California,27
46,2012-12-01 00:00:00.000,57,Major Market,Central,Leaves,Tea,Darjeeling,6,103,Colorado,51
53,2012-12-01 00:00:00.000,63,Major Market,Central,Leaves,Tea,Earl Grey,26,116,Colorado,37
33,2012-12-01 00:00:00.000,49,Major Market,East,Leaves,Tea,Darjeeling,29,82,Massachusetts,20
34,2012-12-01 00:00:00.000,51,Major Market,East,Leaves,Tea,Green Tea,30,85,Florida,21
0,2012-12-01 00:00:00.000,43,Small Market,Central,Beans,Espresso,Decaf Espresso,32,43,Iowa,11
43,2012-12-01 00:00:00.000,63,Small Market,South,Beans,Espresso,Decaf Espresso,27,106,Louisiana,36
31,2012-12-01 00:00:00.000,38,Small Market,West,Beans,Coffee,Decaf Irish Cream,8,69,Nevada,30
23,2012-12-01 00:00:00.000,35,Small Market,Central,Beans,Espresso,Caffe Mocha,17,58,Iowa,18
41,2012-12-01 00:00:00.000,66,Small Market,South,Beans,Espresso,Caffe Mocha,31,107,Louisiana,35
46,2012-12-01 00:00:00.000,57,Small Market,West,Beans,Espresso,Caffe Latte,6,103,Oregon,51
43,2012-12-01 00:00:00.000,63,Small Market,Central,Leaves,Tea,Darjeeling,28,106,Wisconsin,35
33,2012-12-01 00:00:00.000,49,Small Market,East,Leaves,Tea,Green Tea,28,82,Connecticut,21
49,2012-12-01 00:00:00.000,69,Small Market,West,Leaves,Tea,Darjeeling,-4,118,Utah,73
55,2012-12-01 00:00:00.000,76,Small Market,West,Leaves,Tea,Green Tea,-3,131,Washington,79
39,2013-10-01 00:00:00.000,51,Major Market,Central,Beans,Coffee,Colombian,40,96,Colorado,24
80,2013-10-01 00:00:00.000,94,Major Market,East,Leaves,Herbal Tea,Mint,71,185,Florida,46
54,2013-10-01 00:00:00.000,66,Major Market,Central,Leaves,Tea,Darjeeling,19,128,Colorado,53
54,2013-10-01 00:00:00.000,64,Major Market,Central,Leaves,Tea,Earl Grey,40,126,Colorado,37
27,2013-10-01 00:00:00.000,39,Major Market,East,Leaves,Tea,Darjeeling,30,70,Massachusetts,19
76,2013-10-01 00:00:00.000,111,Major Market,West,Leaves,Tea,Earl Grey,117,199,California,32
22,2013-10-01 00:00:00.000,29,Small Market,Central,Beans,Espresso,Decaf Espresso,15,54,Wisconsin,19
23,2013-10-01 00:00:00.000,35,Small Market,Central,Beans,Espresso,Caffe Mocha,27,62,Iowa,17
79,2013-10-01 00:00:00.000,98,Small Market,East,Leaves,Herbal Tea,Lemon,50,189,Connecticut,64
65,2013-10-01 00:00:00.000,77,Small Market,East,Leaves,Herbal Tea,Mint,52,151,Connecticut,42
46,2013-10-01 00:00:00.000,67,Small Market,Central,Leaves,Tea,Darjeeling,45,120,Wisconsin,37
60,2013-10-01 00:00:00.000,84,Small Market,Central,Leaves,Tea,Earl Grey,0,153,Wisconsin,84
60,2013-10-01 00:00:00.000,99,Small Market,West,Leaves,Tea,Darjeeling,85,169,Washington,42
40,2013-11-01 00:00:00.000,52,Major Market,Central,Leaves,Herbal Tea,Lemon,40,98,Illinois,25
36,2013-11-01 00:00:00.000,52,Major Market,Central,Leaves,Herbal Tea,Lemon,45,94,Ohio,22
55,2013-11-01 00:00:00.000,69,Major Market,East,Leaves,Herbal Tea,Lemon,22,132,Massachusetts,54
40,2013-11-01 00:00:00.000,52,Major Market,West,Leaves,Herbal Tea,Mint,40,98,California,25
28,2013-11-01 00:00:00.000,42,Major Market,East,Leaves,Tea,Darjeeling,34,75,Florida,19
31,2013-11-01 00:00:00.000,47,Major Market,East,Leaves,Tea,Green Tea,42,83,Florida,19
32,2013-11-01 00:00:00.000,48,Major Market,East,Leaves,Tea,Green Tea,43,85,Massachusetts,19
50,2013-11-01 00:00:00.000,73,Major Market,West,Leaves,Tea,Earl Grey,70,131,California,26
0,2013-11-01 00:00:00.000,43,Small Market,Central,Beans,Espresso,Decaf Espresso,46,46,Iowa,12
82,2013-11-01 00:00:00.000,40,Small Market,South,Beans,Coffee,Decaf Irish Cream,-12,130,New Mexico,48
22,2013-11-01 00:00:00.000,34,Small Market,Central,Beans,Espresso,Caffe Mocha,24,60,Iowa,18
44,2013-11-01 00:00:00.000,62,Small Market,South,Beans,Espresso,Caffe Mocha,-10,113,New Mexico,69
33,2013-11-01 00:00:00.000,41,Small Market,West,Beans,Coffee,Colombian,-6,79,Nevada,45
44,2013-11-01 00:00:00.000,62,Small Market,Central,Leaves,Herbal Tea,Chamomile,-12,113,Missouri,70
31,2013-11-01 00:00:00.000,47,Small Market,Central,Leaves,Herbal Tea,Lemon,40,83,Wisconsin,20
69,2013-11-01 00:00:00.000,81,Small Market,East,Leaves,Herbal Tea,Mint,56,160,Connecticut,43
49,2013-11-01 00:00:00.000,71,Small Market,Central,Leaves,Tea,Darjeeling,49,128,Wisconsin,38
49,2013-11-01 00:00:00.000,71,Small Market,West,Leaves,Tea,Earl Grey,50,128,Washington,37
43,2013-12-01 00:00:00.000,56,Major Market,Central,Beans,Coffee,Colombian,43,106,Colorado,27
41,2013-12-01 00:00:00.000,60,Major Market,Central,Beans,Coffee,Colombian,36,108,Ohio,36
47,2013-12-01 00:00:00.000,52,Major Market,East,Beans,Espresso,Caffe Mocha,-30,106,Massachusetts,72
43,2013-12-01 00:00:00.000,56,Major Market,Central,Leaves,Herbal Tea,Lemon,43,106,Illinois,27
43,2013-12-01 00:00:00.000,56,Major Market,West,Leaves,Herbal Tea,Mint,43,106,California,27
46,2013-12-01 00:00:00.000,57,Major Market,Central,Leaves,Tea,Darjeeling,9,110,Colorado,51
53,2013-12-01 00:00:00.000,63,Major Market,Central,Leaves,Tea,Earl Grey,39,124,Colorado,37
33,2013-12-01 00:00:00.000,49,Major Market,East,Leaves,Tea,Darjeeling,43,87,Massachusetts,20
34,2013-12-01 00:00:00.000,51,Major Market,East,Leaves,Tea,Green Tea,45,91,Florida,21
0,2013-12-01 00:00:00.000,43,Small Market,Central,Beans,Espresso,Decaf Espresso,47,46,Iowa,11
43,2013-12-01 00:00:00.000,63,Small Market,South,Beans,Espresso,Decaf Espresso,40,113,Louisiana,36
31,2013-12-01 00:00:00.000,38,Small Market,West,Beans,Coffee,Decaf Irish Cream,12,74,Nevada,30
23,2013-12-01 00:00:00.000,35,Small Market,Central,Beans,Espresso,Caffe Mocha,25,62,Iowa,18
41,2013-12-01 00:00:00.000,66,Small Market,South,Beans,Espresso,Caffe Mocha,46,114,Louisiana,35
46,2013-12-01 00:00:00.000,57,Small Market,West,Beans,Espresso,Caffe Latte,9,110,Oregon,51
43,2013-12-01 00:00:00.000,63,Small Market,Central,Leaves,Tea,Darjeeling,42,113,Wisconsin,35
33,2013-12-01 00:00:00.000,49,Small Market,East,Leaves,Tea,Green Tea,42,87,Connecticut,21
49,2013-12-01 00:00:00.000,69,Small Market,West,Leaves,Tea,Darjeeling,-6,126,Utah,73
55,2013-12-01 00:00:00.000,76,Small Market,West,Leaves,Tea,Green Tea,-4,140,Washington,79
39,2012-10-01 00:00:00.000,51,Major Market,Central,Leaves,Herbal Tea,Lemon,27,90,Illinois,24
39,2012-10-01 00:00:00.000,51,Major Market,West,Leaves,Herbal Tea,Mint,26,90,California,25
86,2012-10-01 00:00:00.000,23,Small Market,South,Beans,Coffee,Decaf Irish Cream,-26,109,New Mexico,49
46,2012-10-01 00:00:00.000,67,Small Market,South,Beans,Espresso,Decaf Espresso,30,113,Louisiana,37
31,2012-10-01 00:00:00.000,37,Small Market,Central,Beans,Coffee,Colombian,7,68,Iowa,30
45,2012-10-01 00:00:00.000,64,Small Market,South,Beans,Espresso,Caffe Mocha,-6,109,New Mexico,70
32,2012-10-01 00:00:00.000,47,Small Market,West,Beans,Espresso,Caffe Latte,28,79,Utah,19
31,2012-10-01 00:00:00.000,37,Small Market,South,Leaves,Herbal Tea,Lemon,6,68,New Mexico,31
39,2012-10-01 00:00:00.000,53,Small Market,Central,Leaves,Tea,Darjeeling,13,92,Missouri,40
